action	source	destination	reason	detail
SKIP_ACTIVE_REFERENCE	data/source_archive	/data/data/com.termux/files/home/.nos_private/writing-agent-interface/source_archive	bulky local Supabase/Drive source archive externalized from repo tree	{"data/source_archive": ["scripts/xml_recovery/audit_google_xml_extraction.sh", "scripts/xml_recovery/materialize_ooxml_raw.py", "scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs"]}
SKIP_ACTIVE_REFERENCE	secrets	/data/data/com.termux/files/home/.nos_private/writing-agent-interface/secrets	local credential material externalized from repo tree	{"secrets/": ["scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md", "src/services/orchestration-engine/google-swarm.ts"]}
