status	best_score	local_basename	best_drive_name	best_has_document_xml	local_path
unmatched	0	(C)_Chapter:_1_-_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_1_-_Stardust_to_Stardust_.txt
unmatched	0	(C)_Chapter:_7_-_The_Pit.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_7_-_The_Pit.txt
unmatched	0	(C)_Chapter:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(C)_Chapter:_Stardust_to_Stardust.txt
unmatched	0	(C)Chapter_8:_Sea_People.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(C)Chapter_8:_Sea_People.txt
unmatched	0	(D)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(D)_Chapter_2_-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_2_-_Living_Sacrifice.txt
unmatched	0	(D)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(D)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(E)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(E)_Chapter_1-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_1-_Stardust_to_Stardust.txt
unmatched	0	(E)_Chapter_2_-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_2_-_Living_Sacrifice.txt
unmatched	0	(E)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(E)_Chapter_3-_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(E)_Chapter_3-_Lift_Up.txt
unmatched	0	(F)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(F)_Chapter_1:_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_1:_Stardust_to_Stardust_.txt
unmatched	0	(F)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(F)_Chapter_3-_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter_3-_Lift_Up.txt
