action	source	destination	tracked	before_sha256	after_sha256	reason
MOVED	src/app/globals.css.bak	docs/forensics/backups/20260614_143918_final_senior_polish/src/src/app/globals.css.bak	tracked=True	before_sha256=96d689851f6e29b926faa52d8c359534ed53b13d748bac78ba79763b36abf581	after_sha256=96d689851f6e29b926faa52d8c359534ed53b13d748bac78ba79763b36abf581	reason=backup file should not live in active src tree
MOVED	src/app/layout.tsx.bak	docs/forensics/backups/20260614_143918_final_senior_polish/src/src/app/layout.tsx.bak	tracked=True	before_sha256=838a69f2ca4f24bdabf95489678e756f5af187e9b7ea3f83b3f947ba71a0b611	after_sha256=838a69f2ca4f24bdabf95489678e756f5af187e9b7ea3f83b3f947ba71a0b611	reason=backup file should not live in active src tree
MOVED	src/app/page.tsx.bak	docs/forensics/backups/20260614_143918_final_senior_polish/src/src/app/page.tsx.bak	tracked=True	before_sha256=ee1ab54d8a1cd76e0428dd4d0f0c625c58a73acde97a13af0ffa5c68c55a025f	after_sha256=ee1ab54d8a1cd76e0428dd4d0f0c625c58a73acde97a13af0ffa5c68c55a025f	reason=backup file should not live in active src tree
MOVED	scripts/archive-google-docs-by-local-names.mjs.bak.20260612_223804	docs/forensics/backups/20260614_143918_final_senior_polish/scripts/archive-google-docs-by-local-names.mjs.bak.20260612_223804	tracked=True	before_sha256=23a488293b714e91ab33b9569a015dc1a4cf27e55dcbd0086dea6a5c5439c9e4	after_sha256=23a488293b714e91ab33b9569a015dc1a4cf27e55dcbd0086dea6a5c5439c9e4	reason=backup file should not live in active scripts root
