path	name	root	bytes	ext	likely_context	sha256
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0002_r_chapter_1_-_stardust_to_stardust_1tbodxyu5ezufogmr46f64o9u8fisifvmiaxn6qz_siq/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0003_g_chapter_2-_living_sacrifice_1liqobbwqqwnybdbuqqoxp9hdt2ddoq8nxzwiycwas0s/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0004_g_chapter_3-_lift_up_1xobnlljg3yy72d9i_360v-utttubr_5mhgn1ydmsrtk/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0005_final_chapter_5_-_the_snare_1lmmvyvwhmyuexbywewlh-rgpubirdpg7uper4gfh37g/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0006_final_chapter_6-_beelzebub_beelzebub_126vrnrfcocizrxxqdi8yhhjqym0oddgk772ykll5eqg/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0009_final_chapter_9_the_ascent_1pihcifwbnqsvqjbzscu08jpdqzy-ymbjyomtcv_23u0/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0010_final_chapter_4_-_pilgrimage_1opvdsohmwivq6fgqotsgpffksjcdai2kqtohsqkwwdu/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0012_notes_p_chapter_1_-_stardust_to_stardust_1a7wqhttdqn9rxbcmsg2zja-cpkqyu4rqdw2awfjthjs/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0013_prompt_guide_e_chapter_10_forsaken_1hgitz_aqyru0299o0n46bd_y_mrj7p33mnt_hxubbto/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
src/data-layer/ingestion-buffer/gdrive_ooxml_raw/0033_chapter_3_integration_prompt_1hbyi6yehbbs0z8igdf2awqoeofcs89eg5_devg3_iri/word/fonts/EBGaramond-regular.ttf	EBGaramond-regular.ttf	src/data-layer/ingestion-buffer/gdrive_ooxml_raw	446132	.ttf	yes	50132dd1d104e0a0e508854396b2d96f33796b6e0be424d80be565cfbdd2a359
