action	source	destination	reason	detail
SKIP_REFERENCED	data/source_archive	/data/data/com.termux/files/home/.nos_private/writing-agent-interface/source_archive	bulky local Supabase/Drive source archive; keep outside repo tree	{"data/source_archive": [".gitignore", "scripts/xml_recovery/audit_google_xml_extraction.sh", "scripts/xml_recovery/materialize_ooxml_raw.py", "scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs"]}
SKIP_REFERENCED	secrets	/data/data/com.termux/files/home/.nos_private/writing-agent-interface/secrets	local credential files; keep outside repo tree	{"secrets/": [".gitignore", "scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md", "src/services/orchestration-engine/google-swarm.ts"], "secrets": [".gitignore", "scripts/perfect_weight/00_generate_perfection_scripts.py", "scripts/perfect_weight/06_supabase_snapshot.sh", "scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs", "scripts/ingestion/google_drive/extract_deep_history.py", ".github/workflows/deploy-supabase-functions-only.yml", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/026__AI_CHECKPOINT_FINAL.txt", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/031__AI_READY_CHECKPOINT.txt", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/029__AI_INFORMATION_INTUITION.md", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md", "src/data-layer/ingestion-buffer/readme_docs/tier_1_core/014__Writing_Agent_App._Source_Doc._(8)_[COMBINED]_(1).txt", "src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/134__NOS_INTEGRATION_BLUEPRINT.txt", "src/services/orchestration-engine/google-swarm.ts"]}
